time	V(n002)
1.816150000000017e-008	9.978361e-004
1.817450000000018e-008	8.987980e-004
1.818750000000020e-008	8.126273e-004
1.820207142857165e-008	7.252416e-004
1.821664285714309e-008	6.453521e-004
1.823121428571454e-008	5.729586e-004
1.824578571428598e-008	5.080612e-004
1.826035714285742e-008	4.506599e-004
1.827492857142887e-008	4.007547e-004
1.828950000000031e-008	3.583456e-004
1.830464285714319e-008	3.184430e-004
1.831978571428606e-008	2.820617e-004
1.833492857142894e-008	2.492017e-004
1.835007142857181e-008	2.198629e-004
1.836521428571469e-008	1.940454e-004
1.838035714285756e-008	1.717491e-004
1.839550000000043e-008	1.529741e-004
1.839650000000044e-008	1.517504e-004
1.841964285714332e-008	1.274310e-004
1.844278571428620e-008	1.059588e-004
1.846592857142908e-008	8.733396e-005
1.848907142857197e-008	7.155644e-005
1.851221428571485e-008	5.862624e-005
1.853535714285774e-008	4.854336e-005
1.855850000000062e-008	4.130779e-005
1.859650000000066e-008	3.168783e-005
1.863450000000071e-008	2.353972e-005
1.867250000000075e-008	1.686347e-005
1.871050000000079e-008	1.165908e-005
1.874850000000084e-008	7.926544e-006
1.878650000000088e-008	5.665869e-006
1.882450000000092e-008	4.877053e-006
1.890950000000102e-008	3.146540e-006
1.899450000000111e-008	1.762636e-006
1.907950000000121e-008	7.253396e-007
1.916450000000131e-008	3.465102e-008
1.924950000000140e-008	-3.094296e-007
1.933450000000150e-008	-3.069024e-007
1.941950000000160e-008	4.223275e-008
1.942050000000160e-008	4.190510e-008
2.044450000000276e-008	1.293309e-009
2.146850000000392e-008	1.283266e-009
2.249250000000508e-008	1.284108e-009
2.351650000000624e-008	1.284971e-009
2.454050000000740e-008	1.285851e-009
2.556450000000856e-008	1.286750e-009
2.658850000000972e-008	1.287668e-009
2.701000000000000e-008	1.288051e-009
2.701000000000204e-008	1.286963e-009
2.701000000000612e-008	1.284788e-009
2.701015652241903e-008	-8.348674e-005
2.701031304483194e-008	-1.668854e-004
2.701046956724486e-008	-2.501946e-004
2.701062608965777e-008	-3.334144e-004
2.701078261207068e-008	-4.165449e-004
2.701093913448359e-008	-4.995860e-004
2.701109565689650e-008	-5.825376e-004
2.701209565689650e-008	-1.111683e-003
